Time,EDA,PPG_GRN,PPG_IR,PPG_RED,TEMP1,PPG_RED_HR,PPG_RED_IBI,PPG_IR_HR,PPG_IR_IBI,PPG_GRN_HR,PPG_GRN_IBI,PPG_RED_brut,PPG_GRN_brut,PPG_IR_brut,EDA_brut,TEMP1_brut,PPG_IR_HR_brut,PPG_GRN_HR_brut,PPG_RED_HR_brut,PPG_IR_IBI_brut,PPG_GRN_IBI_brut,PPG_RED_IBI_brut
154141.0,5.438486099243164,9938.728192981838,191543.42980760153,134077.48861500892,38.79952986128526,66.23395376870066,0.9136980515913913,79.03707663268331,0.7633879924344984,78.99757698500777,0.7637397386503547,134107.5833333333,9971.75,191594.3333333333,5.438486099243164,38.72700119018555,,,,,,
154234.0,5.43849778175354,9939.45540633785,191536.6063791541,134077.24203769653,38.79952986128526,66.23395376870066,0.9136980515913913,79.03707663268331,0.7633879924344984,78.99757698500777,0.7637397386503547,134073.66666666666,9950.0,191437.66666666666,,,,,,,,
154235.0,5.438509464263916,9935.909896251536,191524.3629568431,134076.4486445835,38.79952986128526,66.23395376870066,0.9136980515913913,79.03707663268331,0.7633879924344984,78.99757698500777,0.7637397386503547,134064.94444444444,9884.5,191346.8333333333,5.438509464263916,,,,,,,
154325.0,5.442751169204712,9931.447967461116,191507.04921769194,134075.1437141086,38.79952986128526,66.23395376870066,0.9136980515913913,79.03707663268331,0.7633879924344984,78.99757698500777,0.7637397386503547,134056.22222222222,9866.75,191256.0,,,,,,,,
154326.0,5.446992874145508,9926.128743753949,191490.0783004215,134073.36024868223,38.79952986128526,66.23395376870066,0.9136980515913913,79.03707663268331,0.7633879924344984,78.99757698500777,0.7637397386503547,134047.5,9849.0,191244.0,5.446992874145508,,,,,,,
154581.0,5.439926624298096,9921.459147382728,191477.29905523302,134071.77249070274,38.79952986128526,66.23395376870066,0.9136980515913913,79.03707663268331,0.7633879924344984,78.99757698500777,0.7637397386503547,134048.75,9853.75,191292.0,,,,,,,,
154582.0,5.4328603744506845,9917.397266906424,191468.92492263735,134070.3678138832,38.79952986128526,66.23395376870066,0.9136980515913913,79.03707663268331,0.7633879924344984,78.99757698500777,0.7637397386503547,134050.0,9858.5,191347.5,,,,,,,,
154583.0,5.425794124603272,9916.016798073751,191463.25234698332,134069.48118072946,38.79952986128526,66.23395376870066,0.9136980515913913,79.03707663268331,0.7633879924344984,78.99757698500777,0.7637397386503547,134056.625,9896.0,191381.0,5.425794124603272,,,,,,,
154584.0,5.425794124603272,9914.994208950715,191460.10703427473,134069.0791690695,38.7886757482116,66.23395376870066,0.9136980515913913,79.03707663268331,0.7633879924344984,78.99757698500777,0.7637397386503547,134063.25,9900.166666666666,191414.5,,38.68999862670898,,,,,,
154604.0,5.425794124603272,9914.306410523786,191459.32593528926,134069.1305130005,38.7886757482116,66.23395376870066,0.9136980515913913,79.03707663268331,0.7633879924344984,78.99757698500777,0.7637397386503547,134069.875,9904.333333333334,191448.0,,,,,,,,
154605.0,5.425794124603272,9913.93180339322,191462.32103623837,134069.60596377467,38.78670675546071,66.23395376870066,0.9136980515913913,79.03707663268331,0.7633879924344984,78.99757698500777,0.7637397386503547,134076.5,9908.5,191505.75,5.425794124603272,38.7599983215332,,,,,,
154642.0,5.425794124603272,9915.581364464626,191468.8487113198,134071.26579406878,38.78670675546071,66.23395376870066,0.9136980515913913,79.03707663268331,0.7633879924344984,78.99757698500777,0.7637397386503547,134095.33333333334,9939.5,191563.5,,,,,,,,
