Time,EDA,PPG_GRN,PPG_IR,PPG_RED,TEMP1,PPG_RED_HR,PPG_RED_IBI,PPG_IR_HR,PPG_IR_IBI,PPG_GRN_HR,PPG_GRN_IBI,PPG_RED_brut,PPG_GRN_brut,PPG_IR_brut,EDA_brut,TEMP1_brut,PPG_IR_HR_brut,PPG_GRN_HR_brut,PPG_RED_HR_brut,PPG_IR_IBI_brut,PPG_GRN_IBI_brut,PPG_RED_IBI_brut
325904.0,1.4216145277023315,9394.567793983733,193036.81858545897,130160.66442667131,39.1831181996681,75.88096774381205,0.7936517893869439,76.07869048745526,0.7910107720832728,139.52435242781698,0.4317034267983378,130285.33333333333,9414.0,193614.33333333334,,,75.09386733416771,,75.09386733416771,0.799,,0.799
325905.0,1.422049045562744,9396.015033081558,193044.0668487627,130161.82586150973,39.1831181996681,75.88096774381205,0.7936517893869439,76.07869048745526,0.7910107720832728,139.67224288679117,0.43100142529794233,130178.66666666666,9417.0,193149.1666666667,1.422049045562744,,,140.51522122711233,,,0.42700000381469727,
326004.0,1.4218315184116364,9396.981805140813,193020.8367294877,130156.03064463814,39.1831181996681,75.88096774381205,0.7936517893869439,76.07869048745526,0.7910107720832728,139.67224288679117,0.43100142529794233,130072.0,9411.0,192684.0,,,,,,,,
326005.0,1.4216139912605286,9396.595882228503,192977.87952113367,130145.35124820989,39.1831181996681,75.88096774381205,0.7936517893869439,76.07869048745526,0.7910107720832728,139.67224288679117,0.43100142529794233,129990.5,9391.0,192355.0,1.4216139912605286,,,,,,,
326271.0,1.421686977148056,9393.267115633116,192916.46793912505,130130.10278058345,39.1831181996681,75.88096774381205,0.7936517893869439,76.07869048745526,0.7910107720832728,139.67224288679117,0.43100142529794233,129909.0,9345.0,192026.0,,,,,,,,
326272.0,1.4217599630355835,9389.766011398722,192859.22807208472,130115.70905280387,39.18003441911155,75.88096774381205,0.7936517893869439,76.07869048745526,0.7910107720832728,139.67224288679117,0.43100142529794233,129907.0,9339.0,192029.25,1.4217599630355835,39.14799880981445,,,,,,
326277.0,1.4220504760742188,9386.103688082676,192805.89077711152,130102.11492036491,39.18003441911155,75.88096774381205,0.7936517893869439,76.07869048745526,0.7910107720832728,139.67224288679117,0.43100142529794233,129905.0,9333.0,192032.5,,,,,,,,
326278.0,1.422340989112854,9383.709901754763,192760.94621084628,130090.26879647041,39.17447052704977,75.88096774381205,0.7936517893869439,76.07869048745526,0.7910107720832728,139.67224288679117,0.43100142529794233,129918.5,9349.0,192109.25,1.422340989112854,39.0989990234375,,,,,,
326304.0,1.4224854707717896,9381.502811318971,192723.8529069207,130080.05790637554,39.17447052704977,75.88096774381205,0.7936517893869439,76.07869048745526,0.7910107720832728,139.67224288679117,0.43100142529794233,129932.0,9349.5,192186.0,,,,,,,,
326305.0,1.422629952430725,9379.470371879039,192696.03981615166,130070.5380414481,39.17447052704977,75.88096774381205,0.7936517893869439,76.07869048745526,0.7910107720832728,139.67224288679117,0.43100142529794233,129932.5,9350.0,192292.75,1.422629952430725,,,,,,,
326405.0,1.422629952430725,9377.181960790069,192676.90821510964,130064.53558716114,39.17447052704977,75.88096774381205,0.7936517893869439,76.07869048745526,0.7910107720832728,139.67224288679117,0.43100142529794233,129977.5,9344.0,192399.5,,,,,,,,
326406.0,1.422629952430725,9375.944414932646,192671.93026574774,130061.45264605398,39.17447052704977,75.88096774381205,0.7936517893869439,76.07869048745526,0.7910107720832728,139.67224288679117,0.43100142529794233,130016.75,9358.0,192599.75,1.422629952430725,,,,,,,
326504.0,1.422847718000412,9375.528646227316,192680.1928292479,130061.1008624376,39.17447052704977,75.88096774381205,0.7936517893869439,76.07869048745526,0.7910107720832728,139.67224288679117,0.43100142529794233,130056.0,9369.5,192800.0,,,,,,,,
326505.0,1.4230654835700989,9375.881636793298,192695.7932918771,130062.38467776422,39.17447052704977,75.88096774381205,0.7936517893869439,76.07869048745526,0.7910107720832728,139.67224288679117,0.43100142529794233,130081.0,9381.0,192922.0,1.4230654835700989,,,,,,,
326791.0,1.4231382310390472,9375.889273129214,192718.25824078827,130066.58566629558,39.17447052704977,75.88096774381205,0.7936517893869439,76.07869048745526,0.7910107720832728,139.67224288679117,0.43100142529794233,130127.5,9376.0,193044.0,,,,,,,,
326792.0,1.4232109785079956,9376.197492067116,192745.98351557614,130071.63748710805,39.16015394701555,75.88096774381205,0.7936517893869439,76.07869048745526,0.7910107720832728,139.67224288679117,0.43100142529794233,130144.88888888889,9380.666666666666,193148.0,1.4232109785079956,39.02999877929688,,,,,,
326795.0,1.4235744774341583,9376.786901181067,192778.62974037768,130077.48524779642,39.16015394701555,75.88096774381205,0.7936517893869439,76.07869048745526,0.7910107720832728,139.67224288679117,0.43100142529794233,130162.27777777778,9385.333333333334,193252.0,,,,,,,,
326796.0,1.423937976360321,9377.639359169387,192812.20201519204,130084.07759740096,39.15979999308581,74.44208611554693,0.8100752999046946,74.60679044899659,0.8078753152867636,139.80536726686975,0.4303695154364691,130179.66666666667,9390.0,193299.0,1.423937976360321,39.15499877929688,67.26457399103138,140.51522311009722,67.26457399103138,0.892,0.4269999980926514,0.892
